<?xml version="1.0" encoding="UTF-8"?>Key;Anzahl
19348;1
10535;3
2425;23
5930;25
10532;15
10533;4
12831;1
12969;1
11878;1
12968;3
12847;1
11759;1
11519;1
10541;1
11994;8
11752;1
10542;1
19565;1
19687;1
19205;1
21646;1
12815;1
2446;21
11729;1
5956;15
10510;5
5958;8
5957;29
19697;1
19457;1
5970;1
5608;4
10407;2
10408;3
10523;1
19301;1
19544;1
5981;1
19300;2
20658;1
6708;11
4529;3
12911;1
19305;2
6825;2
5859;5
6705;1
19308;3
20543;1
19796;2
5871;1
5991;5
6720;2
20308;1
6718;7
11954;1
12924;2
11955;1
12923;1
10506;1
11959;2
12927;1
12926;8
6711;23
5863;7
6712;3
6713;15
5988;4
6730;2
6731;4
11918;1
20517;1
21966;1
6729;10
6721;50
5874;13
6604;1
6605;1
6726;8
6607;1
6980;1
21738;1
20525;1
12900;3
6732;3
5886;1
6734;5
6735;4
6617;1
8914;7
5528;1
8930;3
5661;5
19184;1
19185;1
22478;1
19180;2
19181;2
12319;18
6985;1
12675;1
14610;1
12794;2
6987;1
6989;1
12556;1
8926;3
8925;2
6640;1
14628;1
14627;1
6512;1
6996;2
6635;5
6636;13
10387;1
6637;7
8939;1
10388;1
8938;1
8816;3
6639;1
12327;3
12445;1
5440;171
20156;1
8953;11
6531;9
6774;9
6775;1
20153;2
10471;1
22454;1
5435;59
20271;1
11441;2
6406;37
11565;4
14833;1
6660;6
6661;44
6662;23
6663;4
6784;2
6665;1
22463;1
22465;1
22464;1
19054;2
19291;1
12428;2
6776;4
11452;1
6898;1
8713;4
6779;1
10487;2
9807;1
11578;1
14601;1
12544;2
8837;1
6670;9
6671;3
6792;23
21223;1
6673;16
6794;3
5585;1
21342;1
6674;2
6432;3
20133;2
19266;1
5586;1
8851;2
11549;4
6666;1
12631;1
5578;3
6667;1
9935;1
6668;6
6789;1
12992;4
6669;16
5579;1
10454;2
11664;5
9819;2
11543;1
11544;1
11545;2
9937;2
22449;1
21358;4
5472;11
6200;2
6201;8
5474;5
9952;1
12527;1
8857;1
6316;2
10342;2
8977;4
5469;4
10465;1
14824;1
11797;1
11799;5
6691;1
8754;5
8875;1
8873;1
21208;1
11647;2
12615;1
5479;11
11880;1
12970;1
10552;1
11885;1
11765;5
9718;1
8749;2
20004;1
9851;1
19136;1
8760;2
6221;1
6463;5
8880;2
6343;1
21571;1
6103;1
19377;1
19491;1
12506;1
12505;1
11417;1
12868;1
14803;1
11418;1
11419;1
8759;7
9606;1
8638;1
11771;1
8637;1
6218;1
8877;8
8635;1
6219;2
11411;3
9729;1
12622;1
12742;2
6230;1
8530;2
6595;1
6232;1
6115;1
12033;1
14692;1
6590;1
12155;1
6589;1
9616;2
6227;4
9979;2
5379;2
8529;1
6482;2
9872;1
9871;1
6484;2
4064;3
6485;1
6486;11
6487;5
9513;1
6004;53
6488;1
6489;2
6247;21
5150;14
6480;3
6481;1
22080;1
6116;2
8779;2
9762;1
6013;1
14794;1
6135;1
6136;1
9886;1
6258;15
9643;1
6137;1
6250;16
6248;9
6127;4
14677;4
8307;1
9515;28
14795;1
9757;3
14678;1
9531;2
8562;1
9533;6
6154;18
6155;246
6156;2
6157;9
12470;1
12591;1
6150;1
9417;1
14653;2
8327;3
14652;3
12116;4
6043;192
6044;19
6048;2
12120;1
21198;1
9670;4
6161;3
12488;1
12245;2
12124;1
12127;1
12007;1
6176;46
8595;3
8594;1
21048;1
6179;26
6172;3
6173;6
14517;3
10395;2
12210;1
12211;2
12212;3
12214;3
6185;1
8366;1
9575;1
8249;1
9217;5
6182;22
6183;49
6184;2
22262;2
14521;2
12343;1
12224;1
12348;1
12347;1
9587;1
9465;1
8499;2
6070;1
8252;15
6193;1
13099;1
19751;8
11907;1
11908;1
9487;1
8275;5
9008;1
12097;1
18992;5
6091;8
9240;7
6096;5
7064;3
1516;1
9138;1
9011;2
9252;1
9251;1
21931;1
21932;2
9268;1
12194;1
12195;6
12074;1
12076;1
9260;1
9143;19
9261;1
12078;1
12079;4
19704;1
12081;1
13050;3
9271;8
20826;1
9272;3
5908;2
12052;1
12297;2
1434;25
5919;1
12298;1
5911;14
12061;1
12066;1
5926;10
2416;2
2410;23
13038;3
5920;1